masked_id	Date	Des1	Des2	Des3	Payment
1	07032016	GROCERIES	GROCERIES	"PACKAGE STORES BEER, WINE AND LIQUOR (BMG INFERRED DEFINITION)"	207
1	07032016	PERSONAL SERVICES	PERSONAL SERVICES	FUNERAL SERVICES AND CREMATORIES 	60
1	07032016	FURNISHINGS	HOUSEHOLD	DIRECT MARKETING - OUTBOUND TELEMARKETING MERCHANT	34
1	07032016	ANTIQUES	RETAIL / DEPARTMENT STORES	"JEWELRY, PRECIOUS METAL"	198
1	07052016	RECREATION	ENTERTAINMENT	STAMP AND COIN STORES 	234
1	07112016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	AUTOMATED REFERRAL SERVICE N/A	322
1	07152016	APPLIANCES	RETAIL / DEPARTMENT STORES	"FLORISTS SUPPLIES, NURSERY STOCK AND FLOWERS "	222
1	07162016	HEALTHCARE	HEALTHCARE / PHARMACY	DENTISTS AND ORTHODONTISTS 	67
1	07162016	EDUCATION	EDUCATION	SCHOOLS AND EDUCATIONAL SERVICES (NOT ELSEWHERE CLASSIFIED)	5137
1	07182016	RECREATION   	ENTERTAINMENT	ART DEALERS AND GALLERIES 	285
1	07182016	VARIETY STORES	RETAIL / DEPARTMENT STORES	FAMILY CLOTHING STORES 	176
1	07182016	PHARMACY	HEALTHCARE / PHARMACY	HOSPITALS	100
1	07182016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	"INSURANCE CARRIERS, NOT ELSEWHERE CLASSIFIED"	286
1	07192016	UTILITIES	UTILITIES / TELECOM	VISAPHONE	51
1	07192016	EDUCATION	EDUCATION	BUSINESS AND SECRETARIAL SCHOOLS 	5505
1	07192016	RETAIL	RETAIL / DEPARTMENT STORES	WHOLESALE CLUBS 	242
1	07192016	RESTAURANTS	RESTAURANTS	BAKERY PRODUCTS	161
1	07232016	BUILDING SUPPLY/WHOLESALE	BUILDING SUPPLY / WHOLESALE	HARDWARE STORES 	1300
1	07292016	APPLIANCES	RETAIL / DEPARTMENT STORES	RETAIL-MISCELLANEOUS RETAIL	115
1	07292016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	MENS AND WOMENS CLOTHING STORES 	211
1	07292016	FURNISHINGS	HOUSEHOLD	"FIREPLACES, FIREPLACE SCREENS, ACCESSORIES STORES"	59
1	07292016	HOBBIES	ENTERTAINMENT	CAMERA AND PHOTOGRAPHIC SUPPLY STORES 	470
1	08032016	GROCERIES	GROCERIES	GROCERY STORES AND SUPERMARKETS (BMG INFERRED DEFINITION)	235
1	08032016	CLOTHES	RETAIL / DEPARTMENT STORES	COMPUTER SOFTWARE STORES 	105
1	08032016	ENTERTAINMENT	ENTERTAINMENT	MOTION PICTURE THEATERS 	282
1	08082016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	"MUSIC STORES MUSICAL INSTRUMENTS, PIANOS, AND SHEET MUSIC"	275
1	08102016	GIFTS	RETAIL / DEPARTMENT STORES	"VIDEO, GAME VIDEO AMUSEMENT GAME SUPPLIES "	155
1	08112016	AIRLINES	AIRLINES / TRANSPORTATION	AERO COACH	1079
1	08112016	AUTO	AUTO / GAS	SHOWCASE RENTAL CARS	68
1	08202016	POSTAGE/DELIVERY	POSTAGE / DELIVERY	POSTAL SERVICES - GOVERNMENT ONLY 	14
1	08202016	GOVERNMENT SERVICES	OTHER	GOVERNMENT SERVICES (NOT ELSEWHERE CLASSIFIED)	77
1	08202016	TELECOM	UTILITIES / TELECOM	TELEGRAPH SERVICES 	93
1	08202016	TAX	TAX	TAX PAYMENTS 	40
1	08232016	OTHER	OTHER	MISCELLANEOUS STORES (BMG INFERRED DEFINITION)	60
1	08262016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	DISCOUNT STORES	285
1	08272016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	"PHOTOGRAPHIC, PHOTOCOPY, MICROFILM EQUIPMENT, SUPPLIES"	170
1	08272016	EDUCATION	EDUCATION	CORRESPONDENCE SCHOOLS 	7237
1	08282016	ELECTRONICS	RETAIL / DEPARTMENT STORES	"MUSIC STORES MUSICAL INSTRUMENTS, PIANOS, AND SHEET MUSIC"	160
1	08292016	ANTIQUES	RETAIL / DEPARTMENT STORES	FURRIERS AND FUR SHOPS 	249
1	08302016	PERSONAL SERVICES	PERSONAL SERVICES	LAUNDRIES - FAMILY AND COMMERCIAL 	40
1	09012016	OFFICE SUPPLY/STATIONERY	OFFICE SUPPLY / STATIONERY	BLUEPRINT/PHOTOCOPY SERVICES	40
1	09022016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	WOMENS ACCESSORY AND SPECIALTY SHOPS (BMG INFERRED DEFINITION)	241
1	09022016	GIFTS	RETAIL / DEPARTMENT STORES	"PHOTOGRAPHIC, PHOTOCOPY, MICROFILM EQUIPMENT, SUPPLIES"	111
1	09022016	FINANCIAL SERVICES	INSURANCE / FINANCIAL SERVICES	FINANCIAL INSTITUTIONS AUTOMATED CASH DISBURSEMENTS	400
1	09042016	AUTO	AUTO / GAS	TROPICAL RENT-A-CAR	64
1	09062016	INSURANCE	INSURANCE / FINANCIAL SERVICES	"FIRE, MARINE AND CASUALTY INSURANCE"	403
1	09062016	PAWN SHOPS	RETAIL / DEPARTMENT STORES	ELECTRONICS STORES 	248
1	09132016	RECREATION	ENTERTAINMENT	MOTOR HOME DEALERS 	190
1	09132016	GAS	AUTO / GAS	"AUTOMOTIVE REPAIR SHOPS, NOT ELSEWHERE CLASSIFIED"	56
1	09142016	GOVERNMENT SERVICES	OTHER	U.S. GOVERNMENT U.S. FEDERAL GOVERNMENT AGENCIES OR DEPARTMENTS 	40
1	09142016	GIFTS	RETAIL / DEPARTMENT STORES	GLASSWARE/CRYSTAL STORES 	255
1	09152016	OTHER	OTHER	GOVERNMENT SERVICES (NOT ELSEWHERE CLASSIFIED) 	75
1	09152016	TRANSPORTATION	AIRLINES / TRANSPORTATION	LAP (PARAGUAY	1945
1	09152016	DIRECT MARKETING	HOUSEHOLD	HOUSEHOLD APPLIANCE STORES 	54
1	09222016	PHARMACY	HEALTHCARE / PHARMACY	OPTOMETRISTS AND OPHTHALMOLOGISTS 	49
1	09222016	ELECTRONICS	RETAIL / DEPARTMENT STORES	"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS "	176
1	09252016	RESTAURANTS	RESTAURANTS	"CANDY, NUT, AND CONFECTIONERY STORES "	78
1	09252016	BUILDING SUPPLY/WHOLESALE	BUILDING SUPPLY / WHOLESALE	INDUSTRIAL SUPPLIES (NOT ELSEWHERE CLASSIFIED) 	2043
1	09252016	VEHICLE RENTAL	AUTO / GAS	AUTOMOTIVE SERVICE SHOPS (NON-DEALER)	27
1	09252016	DIRECT MARKETING	HOUSEHOLD	DIRECT MARKETING - INBOUND TELESERVICES MERCHANT 	72
1	09262016	INSURANCE	INSURANCE / FINANCIAL SERVICES	FINANCIAL INSTITUTIONS - MANUAL CASH DISBURSEMENTS	412
1	09262016	PET/VETERINARY	PET / VETERINARY	"PET SHOPS, PET FOODS AND SUPPLIES STORES "	253
1	09262016	PERSONAL SERVICES	PERSONAL SERVICES	MISCELLANEOUS PERSONAL SERVICES NOT ELSEWHERE CLASSIFIED	76
1	09262016	FURNISHINGS	HOUSEHOLD	HOUSEHOLD APPLIANCE STORES 	55
1	09272016	ENTERTAINMENT	ENTERTAINMENT	RELIGIOUS GOODS STORES RELIGIOUS GOODS STORES 	311
1	09282016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	ELECTRIC RAZOR STORES - SALES AND SERVICE 	129
1	10012016	BUILDING SUPPLY/WHOLESALE	BUILDING SUPPLY / WHOLESALE	LUMBER AND BUILDING MATERIALS STORES 	1054
1	10012016	CONVENIENCE STORES	RETAIL / DEPARTMENT STORES	RETAIL-MISCELLANEOUS RETAIL	249
1	10012016	TELECOM	UTILITIES / TELECOM	COMPUTER NETWORK/INFORMATION SERVICES 	73
1	10012016	HOTEL/MOTEL	LODGING	PEPPERMILL HOTEL CASINO	950
1	10022016	BUILDING SUPPLY/WHOLESALE	BUILDING SUPPLY / WHOLESALE	INDUSTRIAL SUPPLIES (NOT ELSEWHERE CLASSIFIED) 	2005
1	10062016	HOTEL/MOTEL	LODGING	COSMOPOLITAN OF LAS VEGAS	1047
1	10072016	FURNISHINGS	HOUSEHOLD	"FIREPLACES, FIREPLACE SCREENS, ACCESSORIES STORES"	67
1	10072016	DEPARTMENT STORES	RETAIL / DEPARTMENT STORES	"FLORISTS SUPPLIES, NURSERY STOCK AND FLOWERS "	173
1	10082016	ANTIQUES	RETAIL / DEPARTMENT STORES	"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE"	192
1	10082016	FINANCIAL SERVICES	INSURANCE / FINANCIAL SERVICES	VISA CREDENTIAL SERVICE	212
1	10082016	OTHER	OTHER	GOVERNMENT LOAN PAYMENTS	48
1	10082016	AUTO	AUTO / GAS	PAYLESS CAR RENTAL	52
1	10092016	VEHICLE RENTAL	AUTO / GAS	EUROPE BY CAR	57
1	10142016	GAMBLING	ENTERTAINMENT	"Media, Books, Movies, Music"	379
1	10142016	HEALTHCARE	HEALTHCARE / PHARMACY	MEDICAL AND DENTAL LABORATORIES 	65
1	10142016	GROCERIES	GROCERIES	"PACKAGE STORES BEER, WINE, AND LIQUOR "	157
1	10152016	PAWN SHOPS	RETAIL / DEPARTMENT STORES	SHOE STORES 	183
1	10152016	USED ITEMS	OTHER	INTRA-COMPANY PURCHASES	41
1	10172016	POSTAGE/DELIVERY	POSTAGE / DELIVERY	POSTAL SERVICES - GOVERNMENT ONLY 	19
1	10172016	APPLIANCES	RETAIL / DEPARTMENT STORES	FLORISTS (BMG INFERRED DEFINITION)	221
1	10192016	REAL ESTATE	INSURANCE / FINANCIAL SERVICES	FINANCIAL INSTITUTIONS - MANUAL CASH DISBURSEMENTS	173
1	10192016	ENTERTAINMENT	ENTERTAINMENT	BICYCLE SHOPS - SALES AND SERVICE 	177
1	10192016	CONTRACTOR/BUSINESS SERVICES	CONTRACTOR / BUSINESS SERVICES	FARM SUPPLIES	322
1	10202016	OTHER	OTHER	INTRA-COMPANY PURCHASES	63
1	10212016	FINANCIAL SERVICES	INSURANCE / FINANCIAL SERVICES	MISCELLANEOUS BUSINESS CREDIT INSTITUTIONS	321
1	10212016	DISCOUNT STORES	RETAIL / DEPARTMENT STORES	"MUSIC STORES MUSICAL INSTRUMENTS, PIANOS, AND SHEET MUSIC"	298
1	10212016	HOBBIES	ENTERTAINMENT	"SEWING, NEEDLEWORK, FABRIC AND PIECE GOODS STORES "	293
1	10212016	GAS	AUTO / GAS	AUTOMOTIVE TIRE STORES 	69
1	10242016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	FAMILY CLOTHING STORES 	281
1	10242016	DURABLES	RETAIL / DEPARTMENT STORES	BOOK STORES 	189
1	10292016	GIFTS	RETAIL / DEPARTMENT STORES	"FLORISTS SUPPLIES, NURSERY STOCK AND FLOWERS "	260
1	10292016	DEPARTMENT STORES	RETAIL / DEPARTMENT STORES	SPORTS AND RIDING APPAREL STORES 	187
1	10292016	SPORTING GOODS	RETAIL / DEPARTMENT STORES	CHILDRENS AND INFANTS WEAR STORES 	246
1	10302016	WHOLESALE CLUBS	RETAIL / DEPARTMENT STORES	COSMETIC STORES 	223
1	10312016	CHARITY/COMMUNITY ORG	CHARITY / COMMUNITY ORG.	POLITICAL ORGANIZATIONS 	88
1	10312016	RESTAURANTS	RESTAURANTS	CATERERS 	81
1	10312016	RECREATION	ENTERTAINMENT	"Media, Books, Movies, Music"	492
1	11062016	AIRLINES	AIRLINES / TRANSPORTATION	ADRIA	1630
1	11062016	FINANCIAL SERVICES	INSURANCE / FINANCIAL SERVICES	"ONLINE ADVANCE, PHONE ADVANCE, ATM CASH ADVANCE, OR TRANSFER (BMG INFERRED DEFINITION)"	241
1	11062016	FURNISHINGS	HOUSEHOLD	FLOOR COVERING STORES 	63
1	11092016	NONCLASSIFIABLE ESTABLISHMENTS	OTHER	GOVERNMENT SERVICES (NOT ELSEWHERE CLASSIFIED)	60
